insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (1, 'Aubert Chanter', 716936625, '1989-12-19', 'Biyang');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (2, 'Boycie Sandham', 504692229, '1986-06-04', 'Torzhok');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (3, 'Tootsie Pearton', 464633946, '1969-04-27', 'Lazaro Cardenas');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (4, 'Minta Hailes', 326649074, '2005-02-06', 'Pertunmaa');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (5, 'Alan Rilton', 130293986, '1942-10-02', 'Yimnón');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (6, 'Valenka Alyoshin', 888432775, '1993-05-21', 'Banjar Petak');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (7, 'Jennifer Barroux', 585944653, '1965-06-21', 'Miðvágur');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (8, 'Amalle Hartzog', 246374660, '1954-06-01', 'Barcelona');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (9, 'Anthiathia Legrave', 750034152, '1997-03-04', 'New Leyte');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (10, 'Russ Rigolle', 973255758, '1985-07-22', 'Promna');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (11, 'Vivien Guinn', 817944757, '1978-02-27', 'Velagići');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (12, 'Lilith Lambersen', 264486321, '1997-11-05', 'Mosopa');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (13, 'Violante Gazzard', 675384102, '1956-10-19', 'Pácora');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (14, 'Almeta Denyukin', 277772304, '2002-01-28', 'Wang’er');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (15, 'Isa Warre', 883472460, '1990-05-23', 'Granica');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (16, 'Alfred McClaughlin', 527227394, '1994-08-02', 'Penitik');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (17, 'Nanette Woodfin', 931890658, '1992-11-21', 'Ayapa');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (18, 'Theresina MacMeekan', 764190454, '1951-01-28', 'Wat Sing');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (19, 'Lanita Viall', 733073821, '1934-03-18', 'Sémbé');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (20, 'Marley Lorenzetti', 146694618, '1989-04-24', 'Colosó');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (21, 'Tisha Pickersgill', 323130118, '1989-03-11', 'Gazojak');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (22, 'Darius Brokenbrow', 483707625, '1936-06-08', 'Dhanot');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (23, 'Jeannette MacSwayde', 470520082, '1948-11-08', 'Daishan');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (24, 'Reagen Benley', 469733176, '1977-02-06', 'Faīẕābād');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (25, 'Gabby Mathieu', 145007985, '1950-03-07', 'Kant');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (26, 'Cletus Dumpleton', 968461750, '2005-07-05', 'Osek nad Bečvou');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (27, 'Gavin Vanes', 157634454, '1964-06-14', 'Durham');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (28, 'Franky Bouette', 944354607, '1964-08-23', 'Sosándra');
