insert into funcionario (id_funcionario, nome, tipo_funcionario) values (1, 'Farrand Scarff', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (2, 'Kit Chstney', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (3, 'Manny Wakelin', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (4, 'Huntlee Sharphouse', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (5, 'Bride Sheraton', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (6, 'Bettye Dorrins', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (7, 'Brnaba Beckhurst', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (8, 'Erik Robison', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (9, 'Frank Challis', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (10, 'Griffie McParlin', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (11, 'Desiree Smithson', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (12, 'Merrily Deschlein', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (13, 'Meg Cantle', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (14, 'Albie Kybird', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (15, 'Lorenza Romaines', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (16, 'Devi Tidmarsh', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (17, 'Josie Rummin', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (18, 'Dorie Sherrocks', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (19, 'Liza Cough', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (20, 'Andrew Martinho', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (21, 'Judas Chamberlaine', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (22, 'Merrily Rainbow', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (23, 'Denice Playford', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (24, 'Paxton Gabites', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (25, 'Antonella Plum', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (26, 'Codie Trewman', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (27, 'Seumas Glacken', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (28, 'Babara Buye', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (29, 'Franciska Alleway', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (30, 'Danny Gilhespy', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (31, 'Bale Byneth', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (32, 'Melita Readwood', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (33, 'Wendeline Texton', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (34, 'Jessee Petts', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (35, 'Lynn Montez', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (36, 'Kennedy Niccolls', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (37, 'Galvin Domengue', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (38, 'Duffy Clapp', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (39, 'Bogart Joel', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (40, 'Jordon Oxton', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (41, 'Frederik Strete', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (42, 'Mirabel Alvarado', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (43, 'Sophie Sinclair', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (44, 'Mariya Swinburn', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (45, 'Evered Points', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (46, 'Curtis Tenney', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (47, 'Rianon Kittoe', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (48, 'Gery Cruess', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (49, 'Mariellen Golsby', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (50, 'Craig Morecomb', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (51, 'Dionis de Guise', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (52, 'Wilbur Paulot', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (53, 'Katrina Scrace', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (54, 'Bobbie Mitrikhin', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (55, 'Elsworth Larkcum', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (56, 'Tedmund Puleque', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (57, 'Baxie McGowan', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (58, 'Niko Denyer', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (59, 'Hamilton Tranckle', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (60, 'Kathrine Deftie', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (61, 'Moss MacCallister', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (62, 'Celestine Loche', 'talhante');
